Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
0,0,65.04,180,0,0
1,0.431333333,66.04,180,4.636785162,0
2,0.575111111,67.04,180,9.273570325,0
3,0.661377778,68.04,180,13.91035549,0
4,0.722996825,69.04,180,18.54714065,0
5,0.770922751,70.04,180,23.18392581,0
6,0.810134873,71.04,180,27.82071097,0
7,0.84331436,72.04,180,32.45749614,0
8,0.872069915,73.04,180,37.0942813,0
9,0.897442464,74.04,180,41.73106646,0
10,0.920144219,75.04,180,46.36785162,0
11,0.940683901,76.04,180,51.00463679,0
12,0.959437524,77.04,180,55.64142195,0
12.94,0.975694675,77.98,180,60,0
13.94,0.992361342,78.98,180,60,0
14.94,1.009028008,79.98,180,60,0
15.94,1.025694675,80.98,180,60,0
16.94,1.042361342,81.98,180,60,0
17.94,1.059028008,82.98,180,60,0
18.94,1.075694675,83.98,180,60,0
19.94,1.092361342,84.98,180,60,0
20.94,1.109028008,85.98,180,60,0
21.94,1.125694675,86.98,180,60,0
22.94,1.142361342,87.98,180,60,0
23.94,1.159028008,88.98,180,60,0
24.94,1.175694675,89.98,180,60,0
25.94,1.192361342,90.98,180,60,0
26.94,1.209028008,91.98,180,60,0
27.94,1.225694675,92.98,180,60,0
28.94,1.242361342,93.98,180,60,0
29.94,1.259028008,94.98,180,60,0
30.94,1.275694675,95.98,180,60,0
31.94,1.292361342,96.98,180,60,0
32.94,1.309028008,97.98,180,60,-1.163871928
33.78566982,1.323122505,98.82549535,179.9828228,60,-3.491615783
34.63133964,1.337217002,99.66959537,179.9313194,60,-5.819359639
35.47700945,1.351311499,100.510907,179.8455748,60,-8.147103494
36.32267927,1.365405996,101.3480419,179.7257307,60,-10.47484735
37.16834909,1.379274033,102.1796185,179.5719846,61.95955898,-12.80259121
38.01401891,1.392710301,103.0042644,179.3845904,63.91911796,-25.57820375
39.02817258,1.408336971,103.9190278,178.946737,65.87867694,-20.5538551
40.02817258,1.423293942,104.8553704,178.5956494,67.83823591,-20.5538551
41.02817258,1.437825021,105.791713,178.2445617,69.79779489,-20.5538551
42.02817258,1.45195379,106.7280556,177.8934741,71.75735387,-20.5538551
43.02817258,1.465701926,107.6643982,177.5423864,73.71691285,-20.5538551
44.02817258,1.4790894,108.6007408,177.1912988,75.67647183,-20.5538551
45.02817258,1.49213465,109.5370834,176.8402111,77.63603081,-20.5538551
46.02817258,1.504854738,110.473426,176.4891235,79.59558978,-20.5538551
47.02817258,1.517265478,111.4097686,176.1380358,81.55514876,-20.5538551
48.02817258,1.529381561,112.3461112,175.7869482,83.51470774,-20.5538551
49.02817258,1.541216652,113.2824538,175.4358605,85.47426672,-20.5538551
50.02817258,1.552783491,114.2187964,175.0847729,87.4338257,-20.5538551
51.02817258,1.564093967,115.155139,174.7336852,89.39338468,-20.5538551
52.02817258,1.575159199,116.0914816,174.3825976,91.35294365,-20.5538551
53.02817258,1.585989596,117.0278242,174.0315099,93.31250263,-20.5538551
54.02817258,1.596594917,117.9641668,173.6804223,95.27206161,-20.5538551
55.02817258,1.606984329,118.9005094,173.3293346,97.23162059,-20.5538551
56.02817258,1.617166446,119.836852,172.978247,99.19117957,-20.5538551
57.02817258,1.62714938,120.7731946,172.6271593,101.1507385,-21.52026017
57.95774107,1.63625115,121.6379609,172.2861655,103.1102975,-23.4530703
58.88730955,1.645181573,122.4907344,171.9161993,105.0698565,-25.38588044
59.81687803,1.653946983,123.3305446,171.5176817,107.0294155,-27.31869058
60.74644652,1.662553366,124.1564361,171.0910661,108.9889745,-29.25150072
61.676015,1.671006389,124.9674689,170.6368379,110.9485334,-31.18431085
62.60558348,1.679311424,125.7627204,170.1555141,112.9080924,-33.11712099
63.53515196,1.687473561,126.5412856,169.6476423,114.8676514,-35.04993113
64.46472045,1.695497636,127.3022786,169.1138003,116.8272104,-36.98274127
65.39428893,1.703388242,128.0448335,168.5545957,118.7867694,-38.91555141
66.32385741,1.711174004,128.7681053,167.9706647,120,-40.84836154
67.25342589,1.718872955,129.4712711,167.3626717,121.4792473,-42.78117168
68.18299438,1.726478724,130.1535308,166.7313087,122.9584946,-44.71398182
69.11256286,1.733993539,130.814108,166.0772939,124.4377418,-46.64679196
70.04213134,1.74141955,131.4522511,165.4013716,125.9169891,-48.57960209
70.97169982,1.748758831,132.067234,164.7043109,127.3962364,-50.51241223
71.90126831,1.756013385,132.6583568,163.9869049,128.8754837,-61.8017435
72.90253904,1.763738339,133.1314812,163.1044672,130.3547309,-61.39404977
73.90253904,1.771366432,133.6102643,162.2265339,131.8339782,-61.39404977
74.90253904,1.778909412,134.0890473,161.3486007,133.3132255,-61.39404977
75.90253904,1.786369157,134.5678303,160.4706674,134.7924728,-61.39404977
76.90253904,1.793747483,135.0466134,159.5927342,136.27172,-61.39404977
77.90253904,1.801046148,135.5253964,158.7148009,137.7509673,-61.39404977
78.90253904,1.808266856,136.0041795,157.8368676,139.2302146,-61.39404977
79.90253904,1.815411252,136.4829625,156.9589344,140.7094619,-61.39404977
80.90253904,1.822480934,136.9617455,156.0810011,142.1887091,-61.39404977
81.90253904,1.829477447,137.4405286,155.2030679,143.6679564,-61.39404977
82.90253904,1.836402291,137.9193116,154.3251346,145.1472037,-61.39404977
83.90253904,1.84325692,138.3980946,153.4472014,146.626451,-61.39404977
84.90253904,1.850042742,138.8768777,152.5692681,148.1056982,-61.39404977
85.90253904,1.856761126,139.3556607,151.6913348,149.5849455,-61.39404977
86.90253904,1.863413398,139.8344437,150.8134016,151.0641928,-61.39404977
87.90253904,1.870000848,140.3132268,149.9354683,152.5434401,-61.39404977
88.90253904,1.876524726,140.7920098,149.0575351,154.0226873,-61.39404977
89.90253904,1.882986248,141.2707928,148.1796018,155.5019346,-61.39404977
90.90253904,1.889386593,141.7495759,147.3016685,156.9811819,-61.39404977
91.90253904,1.895726911,142.2283589,146.4237353,158.4604292,-61.39404977
92.90253904,1.902008316,142.7071419,145.545802,159.9396764,-61.39404977
93.90253904,1.908231893,143.185925,144.6678688,161.4189237,-61.39404977
94.90253904,1.914398697,143.664708,143.7899355,162.898171,-61.39404977
95.90253904,1.920509755,144.143491,142.9120023,164.3774183,-61.39404977
96.90253904,1.926566065,144.6222741,142.034069,165.8566655,-60.65261006
97.84730464,1.932237053,145.0853071,141.2105507,167.3359128,-59.16973063
